ip,channel,strength,ssid,time,lat,lon,elat,elon,beacon
D8:7D:7F:21:F2:A5,1,-96,KabelBox-F2A0,1674268119,52.465292016,13.42369736,20.907,53.51,4272
54:67:51:BA:CB:CE,1,-94,KabelBox-CCF0,1674268119,52.465292016,13.42369736,20.907,53.51,3996
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268119,52.465292016,13.42369736,20.907,53.51,2068
D8:7D:7F:21:5D:75,6,-94,KabelBox-5D70,1674268119,52.465292016,13.42369736,20.907,53.51,2072
54:67:51:B8:B2:F0,11,-82,2Girls1Router,1674268119,52.465292016,13.42369736,20.907,53.51,432
54:67:51:A1:D5:6A,11,-96,KabelBox-CC34,1674268119,52.465292016,13.42369736,20.907,53.51,400
54:67:51:7E:34:E6,6,-94,KabelBox-2698,1674268119,52.465292016,13.42369736,20.907,53.51,2096
54:67:51:7F:8F:65,6,-96,KabelBox-F76C,1674268119,52.465292016,13.42369736,20.907,53.51,2328
54:67:51:4B:54:2C,6,-96,KabelBox-E730,1674268119,52.465292016,13.42369736,20.907,53.51,2056
B8:D9:4D:7C:BB:2D,6,-100,KabelBox-BB28,1674268119,52.465292016,13.42369736,20.907,53.51,2844
58:90:43:69:22:15,1,-90,KabelBox-2210,1674268124,52.465292016,13.42369736,20.907,53.51,3980
D8:7D:7F:21:F2:A5,1,-100,KabelBox-F2A0,1674268124,52.465292016,13.42369736,20.907,53.51,3976
54:67:51:BA:CB:CE,1,-94,KabelBox-CCF0,1674268124,52.465292016,13.42369736,20.907,53.51,3904
54:67:51:A0:C3:4E,6,-84,KabelBox-C1A8,1674268124,52.465292016,13.42369736,20.907,53.51,2076
D8:7D:7F:21:5D:75,6,-96,KabelBox-5D70,1674268124,52.465292016,13.42369736,20.907,53.51,2184
54:67:51:B8:B2:F0,11,-82,2Girls1Router,1674268124,52.465292016,13.42369736,20.907,53.51,440
54:67:51:A1:D5:6A,11,-88,KabelBox-CC34,1674268124,52.465292016,13.42369736,20.907,53.51,408
